danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,cluster
0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,5FqYA8KfiwsQvyBI4IamnY,7
0.588,0.559,4,-4.849,0,0.0272,0.128,0.0,0.0977,0.278,123.845,1pXgBjIvALm97lDhroan2E,15
0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,5p3JunprHCxClJjOmcLV8G,16
0.504,0.918,0,-3.463,1,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,5e3YOg6fIkP0wD5TyxcHOH,1
0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,3qT4bUD1MaWpGrTwcvguhb,15
0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,45Ia1U4KtIjAPPU7Wv1Sea,17
0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,7wCmS9TTVUcIhRalDYFgPy,6
0.471,0.84,4,-5.929,1,0.0319,0.00651,0.000249,0.315,0.892,131.353,44fw7RulJyj7dGIi9qR86N,7
0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701,4KcH1ZRV2W1q7Flq0QqC76,20
0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875,12yHvSYFXI7PGzNecUvIDu,7
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,1qRA5BS78u3gME0loMl9AA,7
0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,14XWXWv5FoCbFzLksawpEe,17
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2RlgNHKcydI9sayD2Df2xp,6
0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,7c1Dar0pIAW7w5TzaGjt9t,19
0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,4MYb7NWLwXNDB7bYs3HeX8,7
0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,5Z8EDau8uNcP1E8JvmfkZe,1
0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,003vvx7Niy0yvhvHt4a68B,20
0.546,0.9,5,-6.728,1,0.0691,0.0421,4.57e-05,0.292,0.447,90.591,4Q9WS9ARvL7rkokSbnhM96,19
0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,0pQskrTITgmCMyr85tb9qq,1
0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4gHnSNHs8RyVukKoWdS99f,6
0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,7
0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,54X78diSLoUDI3joC2bjMz,1
0.383,0.97,9,-5.638,1,0.0435,0.0276,0.0,0.0942,0.62,101.603,21YxK0klhpfLW8budkJaMF,19
0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,2hvOsGJc6qll4WzW8Ljqc3,11
0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,1xKQbqQtQWrtQS47fUJBtl,20
0.652,0.94,2,-7.927,1,0.0776,0.0398,0.782,0.0567,0.72,91.242,5h6SovHOYpIMlAkafxcbq3,7
0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,4e9hUiLsN4mx61ARosFi7p,20
0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,5zH710lFSLtkHbMkslLDjR,3
0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,70Z9t1qhytWtG4cCmmi7mU,19
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,19
0.595,0.996,2,-3.418,1,0.0599,0.195,0.0345,0.0351,0.376,152.049,5o37x6LpNSec4jSfPIChsQ,20
0.615,0.91,11,-4.248,1,0.0347,0.5,0.511,0.281,0.77,111.013,4hq0S6wznq7SHDyMOFXL9i,11
0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,2SiXAy7TuUkycRVbbWDEpo,11
0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,254bXAqt3zP6P50BdQvEsq,7
0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,3lcfs9Qjfxzy00VSVkixDv,18
0.73,0.729,10,-3.939,0,0.203,0.0602,0.0,0.3,0.885,93.159,3bkpVSoNvBkvt9LJMFT5at,17
0.688,0.667,11,-6.195,0,0.327,0.125,0.0,0.714,0.303,159.991,2uPyRKg62IcLFaGXXw0qEn,10
